,Unnamed: 0,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,FUNCSTAT,2010,2011,2012,2013,2014,2015,2016,meanY,SS_XY,b_1,b_0,2013PRED,2017PRED,2018PRED,2019PRED,2020PRED,2013PREDINT,2017PREDINT,2018PREDINT,2019PREDINT,2020PREDINT,,,
0,0,Prattville,Prattville,AL,Alabama,1001,Autauga,32.4604,-86.4589,A,54742,55255,55027,54792,54977,55035,55416,55034.85714,1532,54.71428571,-55105,55034.85714,55253.71429,55308.42857,55363.14286,55417.85714,55034,55253,55308,55363,55417,,,
1,1,Spanish Fort,Spanish Fort,AL,Alabama,1003,Baldwin,30.7256,-87.8602,A,183199,186653,190403,195147,199745,203690,208563,195342.8571,119508,4268.142857,-8396428.714,195342.8571,212415.4286,216683.5714,220951.7143,225219.8571,195342,212415,216683,220951,225219,,,
2,2,Batesville,Batesville,AL,Alabama,1005,Barbour,32.009,-85.311,A,27348,27326,27132,26938,26763,26270,25965,26820.28571,-6630,-236.7857143,503469.9286,26820.28571,25873.14286,25636.35714,25399.57143,25162.78571,26820,25873,25636,25399,25162,,,
3,3,Eoline,Eoline,AL,Alabama,1007,Bibb,32.9951,-87.2322,A,22861,22736,22645,22501,22511,22561,22643,22636.85714,-1138,-40.64285714,104450.9286,22636.85714,22474.28571,22433.64286,22393,22352.35714,22636,22474,22433,22393,22352,,,
4,4,Hendrix,Hendrix,AL,Alabama,1009,Blount,34.0382,-86.4533,A,57376,57707,57772,57746,57621,57676,57704,57657.42857,771,27.53571429,2228.035714,57657.42857,57767.57143,57795.10714,57822.64286,57850.17857,57657,57767,57795,57822,57850,,,
5,5,Shopton,Shopton,AL,Alabama,1011,Bullock,32.1171,-85.9422,A,10892,10722,10654,10576,10712,10455,10362,10624.71429,-2066,-73.78571429,159155.3571,10624.71429,10329.57143,10255.78571,10182,10108.21429,10624,10329,10255,10182,10108,,,
6,6,Bolling,Bolling,AL,Alabama,1013,Butler,31.7254,-86.7058,A,20938,20848,20665,20330,20283,20126,19998,20455.42857,-4646,-165.9285714,354469.6429,20455.42857,19791.71429,19625.78571,19459.85714,19293.92857,20455,19791,19625,19459,19293,,,
7,7,Ohatchee,Ohatchee,AL,Alabama,1015,Calhoun,33.7877,-86.0278,A,118468,117736,117208,116475,115837,115285,114611,116517.1429,-17844,-637.2857143,1399373.286,116517.1429,113968,113330.7143,112693.4286,112056.1429,116517,113968,113330,112693,112056,,,
8,8,Lanett,Lanett,AL,Alabama,1017,Chambers,32.8576,-85.2079,A,34101,34006,34084,34123,33996,34043,33843,34028,-788,-28.14285714,90679.57143,34028,33915.42857,33887.28571,33859.14286,33831,34027,33915,33887,33859,33830,,,
9,9,Forney,Forney,AL,Alabama,1019,Cherokee,34.0862,-85.4619,A,25977,26073,26017,26074,25944,25726,25725,25933.71429,-1523,-54.39285714,135426.5357,25933.71429,25716.14286,25661.75,25607.35714,25552.96429,25933,25716,25661,25607,25552,,,
10,10,Verbena,Verbena,AL,Alabama,1021,Chilton,32.7499,-86.5114,A,43675,43758,43693,43769,43874,43809,43941,43788.42857,1081,38.60714286,-33927.75,43788.42857,43942.85714,43981.46429,44020.07143,44058.67857,43788,43942,43981,44020,44058,,,
11,11,Silas,Silas,AL,Alabama,1023,Choctaw,31.7678,-88.3258,A,13840,13610,13549,13384,13310,13201,12993,13412.42857,-3598,-128.5,272082.9286,13412.42857,12898.42857,12769.92857,12641.42857,12512.92857,13412,12898,12769,12641,12512,,,
12,12,Salitpa,Salitpa,AL,Alabama,1025,Clarke,31.6296,-88.02,A,25762,25549,25148,25105,24862,24726,24392,25077.71429,-6042,-215.7857143,459454.3571,25077.71429,24214.57143,23998.78571,23783,23567.21429,25077,24214,23998,23783,23567,,,
13,13,Delta,Delta,AL,Alabama,1027,Clay,33.447,-85.6746,A,13882,13676,13461,13464,13503,13495,13492,13567.57143,-1490,-53.21428571,120687.9286,13567.57143,13354.71429,13301.5,13248.28571,13195.07143,13567,13354,13301,13248,13195,,,
14,14,Ranburne,Ranburne,AL,Alabama,1029,Cleburne,33.5259,-85.339,A,14975,14976,14928,15031,15076,14996,14924,14986.57143,35,1.25,12470.32143,14986.57143,14991.57143,14992.82143,14994.07143,14995.32143,14986,14991,14992,14994,14995,,,
