,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,FUNCSTAT,2010,2011,2012,2013,2014,2015,2016
0,Prattville,Prattville,AL,Alabama,1001,Autauga,32.4604,-86.4589,A,54742,55255,55027,54792,54977,55035,55416
1,Spanish Fort,Spanish Fort,AL,Alabama,1003,Baldwin,30.7256,-87.8602,A,183199,186653,190403,195147,199745,203690,208563
2,Batesville,Batesville,AL,Alabama,1005,Barbour,32.009,-85.311,A,27348,27326,27132,26938,26763,26270,25965
3,Eoline,Eoline,AL,Alabama,1007,Bibb,32.9951,-87.2322,A,22861,22736,22645,22501,22511,22561,22643
4,Hendrix,Hendrix,AL,Alabama,1009,Blount,34.0382,-86.4533,A,57376,57707,57772,57746,57621,57676,57704
5,Shopton,Shopton,AL,Alabama,1011,Bullock,32.1171,-85.9422,A,10892,10722,10654,10576,10712,10455,10362
6,Bolling,Bolling,AL,Alabama,1013,Butler,31.7254,-86.7058,A,20938,20848,20665,20330,20283,20126,19998
7,Ohatchee,Ohatchee,AL,Alabama,1015,Calhoun,33.7877,-86.0278,A,118468,117736,117208,116475,115837,115285,114611
8,Lanett,Lanett,AL,Alabama,1017,Chambers,32.8576,-85.2079,A,34101,34006,34084,34123,33996,34043,33843
9,Forney,Forney,AL,Alabama,1019,Cherokee,34.0862,-85.4619,A,25977,26073,26017,26074,25944,25726,25725
10,Verbena,Verbena,AL,Alabama,1021,Chilton,32.7499,-86.5114,A,43675,43758,43693,43769,43874,43809,43941
11,Silas,Silas,AL,Alabama,1023,Choctaw,31.7678,-88.3258,A,13840,13610,13549,13384,13310,13201,12993
12,Salitpa,Salitpa,AL,Alabama,1025,Clarke,31.6296,-88.02,A,25762,25549,25148,25105,24862,24726,24392
13,Delta,Delta,AL,Alabama,1027,Clay,33.447,-85.6746,A,13882,13676,13461,13464,13503,13495,13492
14,Ranburne,Ranburne,AL,Alabama,1029,Cleburne,33.5259,-85.339,A,14975,14976,14928,15031,15076,14996,14924
